frame,ID,centroidX,centroidY,frontX,frontY,1cm,check,score
0,13,971.75,1324.5,996.0,1322.5,100,NA,NA
0,43,2055.5,1232.0,2040.0,1242.0,100,NA,NA
1,27,792.75,1573.0,777.0,1557.0,X,NA,NA
1,40,790.25,1684.75,795.0,1662.0,100,NA,NA
1,13,975.25,1326.75,999.0,1327.0,100,NA,NA
1,43,2063.5,1237.0,2050.0,1250.5,100,NA,NA
2,27,792.75,1572.25,777.5,1556.5,X,NA,NA
2,13,982.75,1330.25,981.0,1310.5,X,NA,NA
2,43,2058.25,1240.75,2045.0,1254.0,100,NA,NA
3,27,794.75,1572.5,784.0,1572.0,100,NA,NA
3,13,988.75,1333.5,1012.5,1337.0,100,NA,NA
3,43,2062.5,1225.25,2047.0,1236.0,100,NA,NA
4,43,2050.25,1240.0,2064.5,1228.5,X,NA,NA
4,27,794.75,1574.0,779.5,1557.5,X,NA,NA
4,13,989.25,1333.5,1013.0,1337.5,100,NA,NA
4,40,908.25,1666.5,922.5,1652.0,100,NA,NA
5,27,793.0,1571.0,778.0,1554.0,X,NA,NA
5,13,1008.25,1341.0,1013.0,1319.0,X,NA,NA
5,40,937.5,1668.5,920.5,1652.0,X,NA,NA
6,13,1014.0,1349.0,1035.0,1359.5,100,NA,NA
6,40,940.75,1675.25,953.5,1664.0,100,NA,NA
6,27,794.0,1574.0,778.0,1558.0,X,NA,X
7,40,933.5,1674.75,946.5,1660.5,100,NA,NA
7,27,794.0,1578.0,778.0,1561.0,X,NA,X
7,13,1016.0,1350.0,1023.0,1331.5,X,NA,NA
7,43,2067.5,1204.75,2051.0,1215.0,100,NA,NA
8,27,795.0,1581.0,778.0,1565.0,X,NA,X
8,43,2085.0,1195.25,2067.5,1210.0,100,NA,NA
8,40,938.75,1676.0,950.5,1661.5,X,NA,NA
8,13,997.25,1331.75,1003.5,1314.0,X,NA,NA
9,13,998.5,1330.75,1021.0,1339.5,100,NA,NA
9,27,795.0,1581.0,778.0,1565.0,X,NA,NA
9,40,943.25,1678.25,957.5,1665.0,X,NA,NA
10,13,999.75,1330.75,1021.0,1342.0,100,NA,NA
10,43,2151.75,1155.0,2142.5,1174.0,100,NA,NA
10,40,941.5,1688.25,960.5,1681.5,X,NA,NA
10,27,798.75,1584.5,782.0,1569.0,X,NA,NA
11,40,944.75,1690.25,963.5,1683.5,X,NA,NA
11,13,1009.25,1335.5,991.5,1322.5,X,NA,NA
11,27,800.0,1584.0,784.0,1572.0,X,NA,X
12,27,800.0,1584.0,785.0,1574.0,X,NA,X
12,40,950.25,1687.25,968.0,1678.0,X,NA,NA
12,13,1022.5,1345.5,1040.0,1361.0,100,NA,NA
13,40,948.25,1684.0,966.0,1674.5,X,NA,NA
13,13,1038.0,1355.0,1055.5,1371.5,100,NA,NA
13,27,801.0,1584.0,787.0,1577.0,X,NA,X
14,13,987.25,1332.0,994.5,1315.0,X,NA,NA
14,40,944.5,1686.5,962.5,1679.0,X,NA,NA
14,27,802.0,1584.0,789.0,1579.0,X,NA,X
15,27,803.0,1584.0,790.0,1582.0,X,NA,X
15,13,973.25,1330.75,992.5,1338.5,100,NA,NA
15,40,945.75,1685.0,932.0,1666.5,X,NA,NA
16,27,804.0,1584.0,792.0,1584.0,X,NA,X
16,13,977.25,1315.5,960.0,1308.5,X,NA,NA
16,40,944.5,1685.25,960.0,1676.0,X,NA,NA
17,13,962.25,1309.0,945.0,1306.5,X,NA,NA
17,27,803.75,1583.5,792.0,1584.5,100,NA,NA
17,43,2162.25,1191.75,2176.5,1174.5,X,NA,NA
17,40,945.5,1684.75,962.0,1677.0,X,NA,NA
18,40,946.0,1684.5,960.5,1675.0,100,NA,NA
18,27,801.25,1582.0,788.0,1585.0,100,NA,NA
18,43,2175.0,1176.25,2186.5,1159.5,X,NA,NA
19,43,2175.0,1175.0,2186.0,1158.0,X,NA,X
19,13,1025.5,1358.25,1038.5,1375.0,100,NA,NA
19,40,943.75,1680.5,958.5,1668.5,X,NA,NA
19,27,801.5,1579.5,789.0,1583.0,100,NA,NA
20,40,945.5,1683.0,929.0,1665.5,X,NA,NA
20,27,798.5,1569.0,784.0,1551.0,X,NA,NA
20,43,2175.0,1174.0,2186.0,1157.0,X,NA,X
20,13,1021.5,1354.75,1033.5,1372.5,100,NA,NA
21,13,1038.25,1375.75,1047.5,1395.0,100,NA,NA
21,27,796.5,1561.75,784.5,1564.0,100,NA,NA
21,40,946.0,1680.5,960.0,1668.0,X,NA,NA
21,43,2175.0,1172.0,2186.0,1156.0,X,NA,X
22,13,1022.0,1352.75,1033.5,1371.5,100,NA,NA
22,27,802.0,1561.75,813.0,1554.5,X,NA,NA
22,43,2175.0,1171.0,2186.0,1154.0,X,NA,X
22,40,944.25,1679.25,957.5,1667.5,X,NA,NA
23,27,804.5,1562.75,793.5,1573.5,100,NA,NA
23,43,2176.0,1170.0,2186.0,1153.0,X,NA,X
23,40,946.5,1679.75,960.0,1668.0,X,NA,NA
23,13,1015.0,1353.0,1027.0,1368.0,X,NA,X
24,13,1008.0,1353.0,1020.0,1364.0,X,NA,X
24,27,809.25,1554.25,799.5,1568.5,100,NA,NA
